2024-05-06 18:09:42 CPU Usage: 20.6% | Memory Usage: 22.79% | I/O Usage (read write): 3.38 8.90 | Docker Stats: CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O      PIDS
58a77735eccd   edgeservice           12.83%    209.3MiB / 1GiB       20.44%    3.5MB / 4.22MB    0B / 1.31MB     39
893a597ee7e4   tripmanagementquery   5.75%     256.6MiB / 1GiB       25.06%    3.82MB / 1.62MB   0B / 1.9MB      59
a590ec851b1e   calculationservice    0.00%     2.965MiB / 1GiB       0.29%     39.3kB / 38kB     0B / 0B         6
ee7d2be91e49   tripmanagementcmd     21.17%    258.9MiB / 1GiB       25.29%    2.74MB / 8MB      0B / 11.6MB     53
542de0862de7   gmapsadapter          0.00%     50.19MiB / 1GiB       4.90%     344kB / 28.5kB    0B / 16.4kB     22
80cf21d912f2   notificationservice   0.00%     1.656MiB / 1GiB       0.16%     15.9kB / 10.5kB   0B / 0B         5
9bc901cb6181   userservice           0.10%     1.468GiB / 2GiB       73.41%    76.1kB / 59.6kB   0B / 1.91MB     40
4b76beba0bca   logstash              1.41%     483.2MiB / 31.34GiB   1.51%     11kB / 2.6kB      0B / 1.02MB     40
9d48986e2e38   kibana                3.72%     479.5MiB / 1GiB       46.83%    2.26MB / 4.82MB   0B / 8.19kB     12
169fc0d27e17   monitor               0.77%     544.4MiB / 2GiB       26.58%    624kB / 29.5kB    0B / 2.71MB     18
8e05f3f7005f   elasticsearch         1.58%     1.416GiB / 2GiB       70.79%    4.81MB / 2.18MB   0B / 4.53MB     87
8c8b2a42cbcb   mongo                 2.88%     41.43MiB / 1GiB       4.05%     4.89MB / 1.22MB   41kB / 6.41MB   22
7cac5634af4e   rabbitmq              2.93%     99.54MiB / 512MiB     19.44%    3.36MB / 3.3MB    0B / 3.34MB     40
0d83340eb2a1   mysqlserver           0.05%     177.3MiB / 1GiB       17.32%    49.4kB / 50.3kB   0B / 13.1MB     37
bad4d64f3501   discoveryservice      1.28%     841.4MiB / 1GiB       82.17%    126kB / 119kB     0B / 1.1MB      63 | Load Average:  1.53, 1.72, 2.00 | Process Count: 312 | Network Usage:  | Disk I/O Latency: Read:3.38 Write:8.90 | Network Latency: Min:1.670/1.775/1.887/0.092 Avg:ms Max:
2024-05-06 18:10:45 CPU Usage: 31.2% | Memory Usage: 23.41% | I/O Usage (read write): 3.38 8.90 | Docker Stats: CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O       PIDS
58a77735eccd   edgeservice           11.07%    209.3MiB / 1GiB       20.44%    4.1MB / 4.94MB    0B / 1.34MB     39
893a597ee7e4   tripmanagementquery   6.66%     256.6MiB / 1GiB       25.06%    4.48MB / 1.9MB    0B / 1.93MB     59
