2024-05-06 20:49:51 CPU Usage: 18.2% | Memory Usage: 27.06% | I/O Usage (read write): 3.41 8.89 | Docker Stats: CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O      PIDS
80cf21d912f2   notificationservice   0.00%     12.19MiB / 1GiB       1.19%     9.52MB / 1.89MB   0B / 0B        6
9bc901cb6181   userservice           0.09%     1.518GiB / 2GiB       75.90%    484kB / 561kB     0B / 20.1MB    40
4b76beba0bca   logstash              0.63%     1.078GiB / 31.34GiB   3.44%     14kB / 2.75kB     0B / 14.1MB    40
9d48986e2e38   kibana                3.92%     484.2MiB / 1GiB       47.28%    14.1MB / 70.8MB   0B / 8.19kB    12
169fc0d27e17   monitor               3.27%     726.2MiB / 2GiB       35.46%    22.6MB / 1.61MB   0B / 29.6MB    18
8e05f3f7005f   elasticsearch         0.76%     1.451GiB / 2GiB       72.54%    70.6MB / 13.8MB   0B / 43.6MB    88
8c8b2a42cbcb   mongo                 2.88%     89.1MiB / 1GiB        8.70%     198MB / 48.5GB    41kB / 132MB   23
7cac5634af4e   rabbitmq              6.91%     101.5MiB / 512MiB     19.83%    63.7MB / 63.6MB   0B / 3.34MB    40
0d83340eb2a1   mysqlserver           0.08%     177.7MiB / 1GiB       17.36%    246kB / 296kB     0B / 13.1MB    38
bad4d64f3501   discoveryservice      0.68%     917.6MiB / 1GiB       89.61%    1.86MB / 1.52MB   0B / 13.4MB    63 | Load Average:  1.60, 0.70, 0.41 | Process Count: 315 | Network Usage:  | Disk I/O Latency: Read:3.41 Write:8.89 | Network Latency: Min:1.588/1.791/1.966/0.154 Avg:ms Max:
2024-05-06 20:51:17 CPU Usage: 30.6% | Memory Usage: 27.13% | I/O Usage (read write): 3.41 8.89 | Docker Stats: CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O      PIDS
58a77735eccd   edgeservice           6.25%     223.3MiB / 1GiB       21.80%    65.4MB / 83.9MB   0B / 24.4MB    39
893a597ee7e4   tripmanagementquery   3.65%     298.2MiB / 1GiB       29.12%    45.9MB / 20.7MB   0B / 26.8MB    63
a590ec851b1e   calculationservice    0.05%     4.492MiB / 1GiB       0.44%     29.6MB / 36.1MB   0B / 0B        7
ee7d2be91e49   tripmanagementcmd     10.71%    382.3MiB / 1GiB       37.34%    48.5GB / 233MB    0B / 120MB     53
542de0862de7   gmapsadapter          0.00%     51.1MiB / 1GiB        4.99%     18.6MB / 13.5MB   0B / 16.4kB    22
80cf21d912f2   notificationservice   0.00%     12.19MiB / 1GiB       1.19%     9.52MB / 1.89MB   0B / 0B        6
9bc901cb6181   userservice           0.09%     1.518GiB / 2GiB       75.90%    484kB / 561kB     0B / 20.2MB    40
4b76beba0bca   logstash              0.40%     1.078GiB / 31.34GiB   3.44%     14kB / 2.75kB     0B / 14.2MB    40
9d48986e2e38   kibana                4.12%     484.2MiB / 1GiB       47.28%    14.1MB / 70.8MB   0B / 8.19kB    12
169fc0d27e17   monitor               0.23%     726.2MiB / 2GiB       35.46%    22.7MB / 1.61MB   0B / 29.7MB    18
8e05f3f7005f   elasticsearch         0.54%     1.451GiB / 2GiB       72.54%    70.6MB / 13.8MB   0B / 43.7MB    88
8c8b2a42cbcb   mongo                 2.96%     90.29MiB / 1GiB       8.82%     199MB / 48.5GB    41kB / 133MB   23
7cac5634af4e   rabbitmq              11.93%    101.5MiB / 512MiB     19.83%    64.4MB / 64.3MB   0B / 3.34MB    40
0d83340eb2a1   mysqlserver           0.08%     177.7MiB / 1GiB       17.36%    246kB / 296kB     0B / 13.1MB    38
